File      ,14-00-46.CSV,,,,,,,,,
Site Name      ,HUTHL-A,,,,,,,,,
Start,12/03/2024 14:00,,,,,,,,,
Stop,13/03/2024 09:31,,,,,,,,,
Pipe Material,Cast Iron,,,,,,,,,
Pipe O.D.     ,173,mm,,,,,,,,
Wall Thickness     ,8.5,mm,,,,,,,,
Pipe Liner,None,,,,,,,,,
Liner Thickness     ,0,mm,,,,,,,,
Fluid      ,Water,,,,,,,,,
Averaging,30,s,,,,,,,,
Interval,60,s,,,,,,,,
Records,1172,,,,,,,,,
FlowMin,0,,,,,,,,,
FlowMax,12.161,,,,,,,,,
AmplitudeMin,0,,,,,,,,,
AmplitudeMax,0.03,,,,,,,,,
Sound SpeedMin,0,,,,,,,,,
Sound SpeedMax,1444.522,,,,,,,,,
Errors,46,,,,,,,,,
Last Error,1,,,,,,,,,
                                                                                                      ,V01,5,100,2,6,8,9,21/07/2023 12:54,0,0
Date[Day/Month/Year] Time[Hour:Min:Secs],Flow[l/s],Sound Speed[m/s],+ve Totaliser[l],-ve Totaliser[l],,,,,,
28/11/2023 14:45:00,184.84,1443.61,17.3747,0,,,,,,
28/11/2023 14:46:00,185.11,1443.6,505.475,0,,,,,,
28/11/2023 14:47:00,185.38,1443.62,993.5,0,,,,,,
28/11/2023 14:48:00,187.87,1443.61,1491.78,0,,,,,,
28/11/2023 14:49:00,183.00,1443.62,1984.93,0,,,,,,
28/11/2023 14:50:00,183.65,1443.61,2481.41,0,,,,,,
28/11/2023 14:51:00,187.26,1443.61,2975.93,0,,,,,,
28/11/2023 14:52:00,186.06,1443.61,3466.98,0,,,,,,
28/11/2023 14:53:00,184.05,1443.62,3965.89,0,,,,,,
28/11/2023 14:54:00,183.19,1443.62,4461.89,0,,,,,,
28/11/2023 14:55:00,183.25,1443.61,4956.92,0,,,,,,
28/11/2023 14:56:00,187.63,1443.61,5462.3,0,,,,,,
28/11/2023 14:57:00,185.42,1443.62,5967.44,0,,,,,,
28/11/2023 14:58:00,185.83,1443.62,6459.61,0,,,,,,
28/11/2023 14:59:00,187.28,1443.63,6960.34,0,,,,,,
28/11/2023 15:00:00,185.04,1443.63,7460.96,0,8.0837,,8.084185,,,
28/11/2023 15:01:00,183.34,1443.62,7947.15,0,,,,,,
28/11/2023 15:02:00,184.51,1443.63,8441.86,0,,,,,,
28/11/2023 15:03:00,183.96,1443.62,8937.76,0,,,,,,
28/11/2023 15:04:00,185.02,1443.63,9434.86,0,,,,,,
28/11/2023 15:05:00,189.09,1443.63,9923.13,0,,,,,,
28/11/2023 15:06:00,184.40,1443.63,10417.8,0,,,,,,
28/11/2023 15:07:00,185.84,1443.63,10919.6,0,,,,,,
28/11/2023 15:08:00,186.77,1443.62,11414.3,0,,,,,,
28/11/2023 15:09:00,182.57,1443.63,11904.6,0,,,,,,
28/11/2023 15:10:00,186.07,1443.64,12400.6,0,,,,,,
28/11/2023 15:11:00,186.96,1443.63,12892.1,0,,,,,,
28/11/2023 15:12:00,183.98,1443.63,13390.5,0,,,,,,
28/11/2023 15:13:00,183.09,1443.63,13887,0,,,,,,
28/11/2023 15:14:00,188.79,1443.63,14383.9,0,,,,,,
28/11/2023 15:15:00,186.51,1443.62,14881.4,0,8.3103,,,,,
28/11/2023 15:16:00,186.15,1443.62,15370.6,0,,,,,,
28/11/2023 15:17:00,185.88,1443.63,15863.7,0,,,,,,
28/11/2023 15:18:00,188.37,1443.63,16356.9,0,,,,,,
28/11/2023 15:19:00,180.46,1443.64,16847.5,0,,,,,,
28/11/2023 15:20:00,185.57,1443.63,17339.4,0,,,,,,
28/11/2023 15:21:00,184.92,1443.64,17840.4,0,,,,,,
28/11/2023 15:22:00,187.69,1443.65,18336.8,0,,,,,,
28/11/2023 15:23:00,185.09,1443.64,18835,0,,,,,,
28/11/2023 15:24:00,185.76,1443.64,19323,0,,,,,,
28/11/2023 15:25:00,186.57,1443.64,19817.2,0,,,,,,
28/11/2023 15:26:00,181.86,1443.65,20312.5,0,,,,,,
28/11/2023 15:27:00,183.71,1443.65,20802.9,0,,,,,,
28/11/2023 15:28:00,185.43,1443.66,21293.6,0,,,,,,
28/11/2023 15:29:00,183.31,1443.65,21781.7,0,,,,,,
28/11/2023 15:30:00,183.19,1443.66,22271.2,0,,,,,,
28/11/2023 15:31:00,182.11,1443.65,22761.8,0,,,,,,
28/11/2023 15:32:00,184.88,1443.65,23251.2,0,,,,,,
28/11/2023 15:33:00,186.28,1443.64,23737.5,0,,,,,,
28/11/2023 15:34:00,186.63,1443.66,24228.8,0,,,,,,
28/11/2023 15:35:00,185.50,1443.65,24718.2,0,,,,,,
28/11/2023 15:36:00,183.10,1443.65,25212,0,,,,,,
28/11/2023 15:37:00,190.22,1443.66,25701.9,0,,,,,,
28/11/2023 15:38:00,189.36,1443.66,26195.2,0,,,,,,
28/11/2023 15:39:00,182.07,1443.65,26680.3,0,,,,,,
28/11/2023 15:40:00,184.66,1443.65,27174.1,0,,,,,,
28/11/2023 15:41:00,187.51,1443.66,27669,0,,,,,,
28/11/2023 15:42:00,187.35,1443.65,28169,0,,,,,,
28/11/2023 15:43:00,183.11,1443.66,28665.5,0,,,,,,
28/11/2023 15:44:00,182.39,1443.66,29157.1,0,,,,,,
28/11/2023 15:45:00,187.23,1443.66,29653.8,0,,,,,,
28/11/2023 15:46:00,181.72,1443.65,30146.5,0,,,,,,
28/11/2023 15:47:00,184.00,1443.66,30637.6,0,,,,,,
28/11/2023 15:48:00,181.86,1443.66,31126.2,0,,,,,,
28/11/2023 15:49:00,184.88,1443.66,31611.1,0,,,,,,
28/11/2023 15:50:00,185.10,1443.67,32108.8,0,,,,,,
28/11/2023 15:51:00,185.87,1443.66,32603.5,0,,,,,,
28/11/2023 15:52:00,184.66,1443.66,33096.6,0,,,,,,
28/11/2023 15:53:00,184.53,1443.65,33589.2,0,,,,,,
28/11/2023 15:54:00,184.26,1443.66,34078.6,0,,,,,,
28/11/2023 15:55:00,185.35,1443.66,34575.8,0,,,,,,
28/11/2023 15:56:00,183.96,1443.65,35063.4,0,,,,,,
28/11/2023 15:57:00,184.03,1443.66,35557.9,0,,,,,,
28/11/2023 15:58:00,186.66,1443.64,36042,0,,,,,,
28/11/2023 15:59:00,181.00,1443.54,36185.5,0,,,,,,
28/11/2023 16:00:00,181.31,1443.45,36185.5,0,,,,,,
28/11/2023 16:01:00,184.92,1443.43,36185.5,0,,,,,,
28/11/2023 16:02:00,181.05,1443.45,36185.5,0,,,,,,
28/11/2023 16:03:00,182.32,1443.46,36185.5,0,,,,,,
28/11/2023 16:04:00,185.52,1443.45,36185.5,0,,,,,,
28/11/2023 16:05:00,179.66,1443.48,36185.5,0,,,,,,
28/11/2023 16:06:00,183.31,1443.47,36185.5,0,,,,,,
28/11/2023 16:07:00,183.50,1443.46,36185.5,0,,,,,,
28/11/2023 16:08:00,179.12,1443.46,36185.5,0,,,,,,
28/11/2023 16:09:00,180.12,1443.46,36185.5,0,,,,,,
28/11/2023 16:10:00,182.53,1443.45,36185.5,0,,,,,,
28/11/2023 16:11:00,182.10,1443.45,36185.5,0,,,,,,
28/11/2023 16:12:00,184.29,1443.45,36185.5,0,,,,,,
28/11/2023 16:13:00,180.25,1443.42,36185.5,0,,,,,,
28/11/2023 16:14:00,182.97,1443.44,36185.5,0,,,,,,
28/11/2023 16:15:00,179.89,1443.44,36185.5,0,,,,,,
28/11/2023 16:16:00,183.05,1443.44,36185.5,0,,,,,,
28/11/2023 16:17:00,181.86,1443.45,36185.5,0,,,,,,
28/11/2023 16:18:00,182.05,1443.44,36185.5,0,,,,,,
28/11/2023 16:19:00,182.51,1443.43,36185.5,0,,,,,,
28/11/2023 16:20:00,180.95,1443.44,36185.5,0,,,,,,
28/11/2023 16:21:00,182.15,1443.44,36185.5,0,,,,,,
28/11/2023 16:22:00,177.85,1443.42,36185.5,0,,,,,,
28/11/2023 16:23:00,181.46,1443.4,36185.5,0,,,,,,
28/11/2023 16:24:00,183.12,1443.4,36185.5,0,,,,,,
28/11/2023 16:25:00,184.55,1443.42,36185.5,0,,,,,,
28/11/2023 16:26:00,185.57,1443.41,36185.5,0,,,,,,
28/11/2023 16:27:00,183.84,1443.4,36185.5,0,,,,,,
28/11/2023 16:28:00,183.98,1443.39,36185.5,0,,,,,,
